# Frame Contacts1 Contacts2
0 0 42
1 0 63
2 0 62
3 0 56
4 0 62
5 0 59
6 0 50
7 0 54
8 2 47
9 1 49
10 2 62
11 0 86
12 0 46
13 0 32
14 0 33
15 0 18
16 0 30
17 0 36
18 1 29
19 0 24
20 0 26
21 0 22
22 0 27
23 1 19
24 1 25
25 0 18
26 2 11
27 6 12
28 2 13
29 3 4
30 1 13
31 0 14
32 2 19
33 0 12
34 0 16
35 2 10
36 0 21
37 2 38
38 3 37
39 4 23
40 14 16
41 7 25
42 6 24
43 2 23
44 1 32
45 0 18
46 2 15
47 1 24
48 0 13
49 0 15
50 1 13
51 0 11
52 1 9
53 1 7
54 1 6
55 8 7
56 1 1
57 7 7
58 10 8
59 14 8
60 11 11
61 23 6
62 13 6
63 17 12
64 11 19
65 8 20
66 19 18
67 15 20
68 14 21
69 6 23
70 14 14
71 8 7
72 6 11
73 6 15
74 2 15
75 0 21
76 5 16
77 10 15
78 1 20
79 0 22
80 0 20
81 0 17
82 0 20
83 0 21
84 2 17
85 0 13
86 0 12
87 0 5
88 0 9
89 0 12
90 0 8
91 0 12
92 3 13
93 12 14
94 0 8
95 0 15
96 7 4
97 0 1
98 0 0
99 0 4
100 2 3
101 5 8
102 1 1
103 1 1
104 8 8
105 11 6
106 25 4
107 15 6
108 14 6
109 36 2
110 10 2
111 6 3
112 3 1
113 0 0
114 0 0
115 0 0
116 0 7
117 0 6
118 5 1
119 9 0
120 10 1
121 13 0
122 11 1
123 9 0
124 9 5
125 7 0
126 6 0
127 9 0
128 7 0
129 15 1
130 13 1
131 19 0
132 13 0
133 15 0
134 11 0
135 3 0
136 5 0
137 6 0
138 4 0
139 11 0
140 7 0
141 4 1
142 0 0
143 0 1
144 0 6
145 0 5
146 0 0
147 0 6
148 0 6
149 1 7
150 3 6
151 0 2
152 0 1
153 0 4
154 0 4
155 0 0
156 0 0
157 2 1
158 0 1
159 1 0
160 0 0
161 4 10
162 5 9
163 5 8
164 4 4
165 6 6
166 7 9
167 6 1
168 7 0
169 9 2
170 0 0
171 6 0
172 12 0
173 7 8
174 8 8
175 9 5
176 8 6
177 11 5
178 23 6
179 17 5
180 20 6
181 17 0
182 19 0
183 15 3
184 25 5
185 9 1
186 7 1
187 8 4
188 10 9
189 10 7
190 11 3
191 7 2
192 11 8
193 3 4
194 12 3
195 12 5
196 10 3
197 8 5
198 6 3
199 17 12
200 6 10
201 11 12
202 9 6
203 9 8
204 10 1
205 12 6
206 8 9
207 12 5
208 6 11
209 11 3
210 13 5
211 10 4
212 10 4
213 12 12
214 10 14
215 3 14
216 7 16
217 1 6
218 7 4
219 6 8
220 7 17
221 12 9
222 9 0
223 13 3
224 12 4
225 5 1
226 17 1
227 14 0
228 24 0
229 3 6
230 0 6
231 1 6
232 0 5
233 1 6
234 17 9
235 10 11
236 14 14
237 17 14
238 23 12
239 14 12
240 10 11
241 19 12
242 14 12
243 9 11
244 6 8
245 3 11
246 3 16
247 7 8
248 6 6
249 7 15
250 14 12
251 10 16
252 12 7
253 8 6
254 2 8
255 7 6
256 5 3
257 11 9
258 11 7
259 7 10
260 14 6
261 10 7
262 10 7
263 9 6
264 1 13
265 17 9
266 5 6
267 5 7
268 7 7
269 11 5
270 18 6
271 10 5
272 22 6
273 22 6
274 17 0
275 9 0
276 14 0
277 19 0
278 21 1
279 15 0
280 23 0
281 5 0
282 9 0
283 13 0
284 16 0
285 23 0
286 23 1
287 24 1
288 24 1
289 22 1
290 17 0
291 10 0
292 23 1
293 27 0
294 27 1
295 26 4
296 28 1
297 24 8
298 25 1
299 27 1
300 28 2
301 31 9
302 28 5
303 29 4
304 22 0
305 26 2
306 22 1
307 26 0
308 24 0
309 23 0
310 17 0
311 18 0
312 29 0
313 27 0
314 35 0
315 21 0
316 21 0
317 20 0
318 26 0
319 27 1
320 17 0
321 29 8
322 23 7
323 25 11
324 34 12
325 27 3
326 15 3
327 19 1
328 14 0
329 13 0
330 21 0
331 17 0
332 22 0
333 25 0
334 31 2
335 30 1
336 33 5
337 38 10
338 36 11
339 24 10
340 25 10
341 16 16
342 13 0
343 21 0
344 15 0
345 21 0
346 25 0
347 14 6
348 17 14
349 22 13
350 23 7
351 15 7
352 24 1
353 38 4
354 28 1
355 19 1
356 6 1
357 23 0
358 25 1
359 23 0
360 36 1
361 22 0
362 31 0
363 28 1
364 18 0
365 11 1
366 18 9
367 19 15
368 9 14
369 13 18
370 14 11
371 13 18
372 22 26
373 25 19
374 23 13
375 25 19
376 20 22
377 21 13
378 22 15
379 20 11
380 28 18
381 30 23
382 30 12
383 23 6
384 26 4
385 17 6
386 16 9
387 17 3
388 23 1
389 20 6
390 28 18
391 27 16
392 28 13
393 27 24
394 28 18
395 25 18
396 23 12
397 23 18
398 16 20
399 14 21
400 18 20
401 14 23
402 19 17
403 13 20
404 18 23
405 20 13
406 11 9
407 7 7
408 22 7
409 9 10
410 5 9
411 11 9
412 16 5
413 21 1
414 7 0
415 10 0
416 11 0
417 23 4
418 23 0
419 19 0
420 21 10
421 24 5
422 20 4
423 14 6
424 14 7
425 22 6
426 21 5
427 16 6
428 20 6
429 22 7
430 26 7
431 19 5
432 16 13
433 24 15
434 19 3
435 23 0
436 17 15
437 34 15
438 23 15
439 26 14
440 22 14
441 21 15
442 19 11
443 28 11
444 23 12
445 22 14
446 22 15
447 16 16
448 32 15
449 33 9
450 45 9
451 47 6
452 39 9
453 31 11
454 30 8
455 13 6
456 7 8
457 13 7
458 21 7
459 16 13
460 15 8
461 7 11
462 5 15
463 14 10
464 6 17
465 46 14
466 23 8
467 17 13
468 20 14
469 4 13
470 12 12
471 15 16
472 12 10
473 12 24
474 18 22
475 14 16
476 21 10
477 7 16
478 3 17
479 7 17
480 5 23
481 17 20
482 7 23
483 7 19
484 11 14
485 11 19
486 9 26
487 19 22
488 17 24
489 18 30
490 15 18
491 8 26
492 13 28
493 15 26
494 9 24
495 14 17
496 26 19
497 22 18
498 11 25
499 20 28
500 12 25
501 9 25
502 9 35
503 15 31
504 14 27
505 22 24
506 19 18
507 12 20
508 12 14
509 8 15
510 6 20
511 8 18
512 6 15
513 9 29
514 8 25
515 8 20
516 6 19
517 13 25
518 8 31
519 11 27
520 9 25
521 10 24
522 15 17
523 15 10
524 19 16
525 21 15
526 14 20
527 8 20
528 7 19
529 2 17
530 0 15
531 3 20
532 3 19
533 0 21
534 0 24
535 4 14
536 11 20
537 14 13
538 32 10
539 21 20
540 25 20
541 27 22
542 21 22
543 22 28
544 11 31
545 20 34
546 30 35
547 20 42
548 23 48
549 28 37
550 18 28
551 31 42
552 17 46
553 13 48
554 15 38
555 20 49
556 31 34
557 14 38
558 24 49
559 15 42
560 5 47
561 10 53
562 8 33
563 27 39
564 43 30
565 54 26
566 39 35
567 27 28
568 15 29
569 7 22
570 1 33
571 12 29
572 8 33
573 3 31
574 7 28
575 1 32
576 6 29
577 3 31
578 2 40
579 4 39
580 9 32
581 5 33
582 0 52
583 0 44
584 1 49
585 1 46
586 1 43
587 0 38
588 9 51
589 4 64
590 0 58
591 8 49
592 8 45
593 3 51
594 1 43
595 2 47
596 1 34
